CustomerKey,CustomerID,FullName,Gender,DateOfBirth,PhoneNumber,Email,Address,City,Province,Country,CustomerType,IsLoyalCustomer,JoinDate,IsActive,Version,EffectiveFrom,EffectiveTo,IsCurrent,Age
12,CUST-100012,Andrew Roberts,Male,1997-01-21,808-858-4058,natalie95@example.net,4283 Morgan Terrace,Rowlandview,Kansas,Costa Rica,Online,False,2016-11-09,True,3,2021-08-15,9999-12-31,True,28
13,CUST-100013,Samantha Zimmerman,Male,1964-12-26,(577)606-5636,belldebbie@example.net,390 Anthony Mountain,Port William,Kentucky,Tonga,Online,True,1989-05-12,False,1,2020-01-01,9999-12-31,True,60
14,CUST-100014,Richard Sharp,Female,1986-06-17,+1-390-611-9909x2094,jdelacruz@example.net,63064 Rivera Station Suite 354,South Levi,Iowa,French Southern Territories,Online,False,2009-11-14,True,1,2020-01-01,2020-08-08,False,39
14,CUST-100014,Richard Sharp,Female,1986-06-17,+1-390-611-9909x2094,jdelacruz@example.net,63064 Rivera Station Suite 354,South Levi,Iowa,French Southern Territories,Online,True,2011-12-21,False,2,2020-08-09,9999-12-31,True,39
15,CUST-100015,David Jackson,Male,1958-09-30,737.688.5919x805,chad87@example.org,2566 Donald Valley,Tonishire,West Virginia,Greenland,Online,True,2011-05-19,True,1,2020-01-01,2021-03-24,False,66
15,CUST-100015,David Jackson,Male,1958-09-30,737.688.5919x805,chad87@example.org,2566 Donald Valley,Tonishire,West Virginia,Greenland,Online,False,1978-08-21,True,2,2021-03-25,2021-12-02,False,66
15,CUST-100015,David Jackson,Male,1958-09-30,737.688.5919x805,chad87@example.org,2566 Donald Valley,Tonishire,West Virginia,Greenland,Online,False,2019-10-04,True,3,2021-12-03,9999-12-31,True,66
16,CUST-100016,Jean Flores,Male,1984-08-23,505-764-5874,pamelahill@example.org,11035 Jones Glens Suite 538,Candicefort,Delaware,Paraguay,Online,True,2019-09-17,False,1,2020-01-01,9999-12-31,True,40
17,CUST-100017,Debra Reese,Male,1983-06-02,(558)576-1743x76082,brittany89@example.net,0674 Carter Rest,Dorisside,Florida,Svalbard & Jan Mayen Islands,Retail,True,2006-11-23,False,1,2020-01-01,2020-12-20,False,42
17,CUST-100017,Debra Reese,Male,1983-06-02,(558)576-1743x76082,brittany89@example.net,0674 Carter Rest,Dorisside,Florida,Svalbard & Jan Mayen Islands,Retail,True,2015-04-20,True,2,2020-12-21,2021-12-13,False,42
17,CUST-100017,Debra Reese,Male,1983-06-02,(558)576-1743x76082,brittany89@example.net,0674 Carter Rest,Dorisside,Florida,Svalbard & Jan Mayen Islands,Retail,True,2004-11-05,True,3,2021-12-14,9999-12-31,True,42
18,CUST-100018,Scott Young,Male,2002-08-19,001-406-972-0906x820,dunnrobert@example.org,8418 Amy Club Suite 374,Lake Sharonborough,Wyoming,Guatemala,Online,True,2020-01-01,False,1,2020-01-01,2021-03-09,False,22
18,CUST-100018,Scott Young,Male,2002-08-19,001-406-972-0906x820,dunnrobert@example.org,8418 Amy Club Suite 374,Lake Sharonborough,Wyoming,Guatemala,Online,False,2020-09-24,False,2,2021-03-10,9999-12-31,True,22
19,CUST-100019,Devin Hall MD,Female,2005-12-27,(753)620-9936x481,timothy04@example.net,106 Garcia Street Apt. 879,Veronicaburgh,Oklahoma,Cocos (Keeling) Islands,Retail,True,2020-01-01,True,1,2020-01-01,2021-04-25,False,19
19,CUST-100019,Devin Hall MD,Female,2005-12-27,(753)620-9936x481,timothy04@example.net,106 Garcia Street Apt. 879,Veronicaburgh,Oklahoma,Cocos (Keeling) Islands,Retail,True,2021-04-26,True,2,2021-04-26,9999-12-31,True,19
20,CUST-100020,Katie Perez,Male,1980-10-01,+1-597-301-2285,katelyn78@example.org,323 Mallory Locks Suite 838,Tracyfort,Connecticut,Gambia,Wholesale,False,2001-01-24,False,1,2020-01-01,9999-12-31,True,44
21,CUST-100021,David Thomas,Male,1963-01-17,590-467-4429,velazquezjennifer@example.com,200 Daniel Inlet Suite 494,Christophershire,Alabama,Jordan,Online,False,1998-05-15,True,1,2020-01-01,2020-07-01,False,62
21,CUST-100021,David Thomas,Male,1963-01-17,590-467-4429,velazquezjennifer@example.com,200 Daniel Inlet Suite 494,Christophershire,Alabama,Jordan,Online,False,2019-02-09,True,2,2020-07-02,2021-04-04,False,62
21,CUST-100021,David Thomas,Male,1963-01-17,590-467-4429,velazquezjennifer@example.com,200 Daniel Inlet Suite 494,Christophershire,Alabama,Jordan,Online,True,2019-08-23,True,3,2021-04-05,9999-12-31,True,62
22,CUST-100022,Danielle Skinner,Male,2006-01-12,546-717-8155x474,xmays@example.net,2972 Sean Island Suite 346,North Cathy,Arizona,Malawi,Wholesale,False,2020-01-01,True,1,2020-01-01,9999-12-31,True,19
23,CUST-100023,Samantha Lara,Male,1965-09-08,(574)678-9241,ryanmedina@example.net,468 Patrick Causeway Suite 107,Whiteport,Oregon,Mongolia,Retail,False,1993-10-10,True,1,2020-01-01,2021-02-19,False,59
23,CUST-100023,Samantha Lara,Male,1965-09-08,(574)678-9241,ryanmedina@example.net,468 Patrick Causeway Suite 107,Whiteport,Oregon,Mongolia,Retail,True,2009-04-02,True,2,2021-02-20,9999-12-31,True,59
24,CUST-100024,Kenneth Reed,Female,1992-03-27,(510)984-0220x531,elizabeth13@example.net,84254 Ana Crescent Apt. 011,North Gary,Connecticut,Belarus,Wholesale,True,2016-04-21,True,1,2020-01-01,9999-12-31,True,33
25,CUST-100025,Thomas Morrison,Female,1998-05-28,321-311-9350x66851,landrews@example.net,41112 Kaitlyn Courts,West Alyssa,Iowa,Reunion,Retail,True,2019-08-20,True,1,2020-01-01,9999-12-31,True,27
26,CUST-100026,Wendy Richards,Male,1985-12-06,+1-885-725-1464x658,benjaminbailey@example.org,18086 Natalie Walks,West Jessica,Oregon,Slovakia (Slovak Republic),Retail,False,2008-06-21,True,1,2020-01-01,9999-12-31,True,39
27,CUST-100027,Joshua Bauer,Female,1985-06-16,+1-567-360-6815x637,ncook@example.org,1605 Richard River,Lake Zachary,Wisconsin,French Polynesia,Wholesale,True,2008-08-03,True,1,2020-01-01,2020-09-12,False,40
27,CUST-100027,Joshua Bauer,Female,1985-06-16,+1-567-360-6815x637,ncook@example.org,1605 Richard River,Lake Zachary,Wisconsin,French Polynesia,Wholesale,True,2017-03-31,True,2,2020-09-13,9999-12-31,True,40
28,CUST-100028,Alec Henry,Female,1988-05-10,001-681-342-7073x971,jgonzalez@example.com,575 Desiree Forges,Brandonbury,Idaho,Jersey,Wholesale,True,2010-09-25,False,1,2020-01-01,2021-02-22,False,37
28,CUST-100028,Alec Henry,Female,1988-05-10,001-681-342-7073x971,jgonzalez@example.com,575 Desiree Forges,Brandonbury,Idaho,Jersey,Wholesale,False,2016-11-01,False,2,2021-02-23,2021-09-25,False,37
28,CUST-100028,Alec Henry,Female,1988-05-10,001-681-342-7073x971,jgonzalez@example.com,575 Desiree Forges,Brandonbury,Idaho,Jersey,Wholesale,True,2010-09-15,True,3,2021-09-26,9999-12-31,True,37
29,CUST-100029,Paula Todd,Female,1961-02-26,937.529.2223x272,mendozalisa@example.net,4754 James Centers Suite 578,Lake Kimberlyfort,Iowa,Syrian Arab Republic,Retail,False,2003-01-08,False,1,2020-01-01,2021-03-05,False,64
29,CUST-100029,Paula Todd,Female,1961-02-26,937.529.2223x272,mendozalisa@example.net,4754 James Centers Suite 578,Lake Kimberlyfort,Iowa,Syrian Arab Republic,Retail,True,1983-06-23,True,2,2021-03-06,2021-09-03,False,64
29,CUST-100029,Paula Todd,Female,1961-02-26,937.529.2223x272,mendozalisa@example.net,4754 James Centers Suite 578,Lake Kimberlyfort,Iowa,Syrian Arab Republic,Retail,True,2003-03-23,False,3,2021-09-04,9999-12-31,True,64
30,CUST-100030,Timothy Bell,Female,1963-09-15,961-745-6280,marquezjennifer@example.org,00985 Michelle Harbors Suite 977,New Roberto,Mississippi,Moldova,Retail,True,2000-10-15,False,1,2020-01-01,2021-02-08,False,61
30,CUST-100030,Timothy Bell,Female,1963-09-15,961-745-6280,marquezjennifer@example.org,00985 Michelle Harbors Suite 977,New Roberto,Mississippi,Moldova,Retail,True,2001-06-03,True,2,2021-02-09,2021-11-07,False,61
30,CUST-100030,Timothy Bell,Female,1963-09-15,961-745-6280,marquezjennifer@example.org,00985 Michelle Harbors Suite 977,New Roberto,Mississippi,Moldova,Retail,True,2000-11-23,True,3,2021-11-08,9999-12-31,True,61
31,CUST-100031,Joanna Alvarado,Male,1969-11-12,841.629.4778,christopher73@example.org,88282 David Harbor Suite 939,West Wendyborough,Indiana,Ethiopia,Wholesale,True,2019-02-11,False,1,2020-01-01,2020-11-23,False,55
31,CUST-100031,Joanna Alvarado,Male,1969-11-12,841.629.4778,christopher73@example.org,88282 David Harbor Suite 939,West Wendyborough,Indiana,Ethiopia,Wholesale,True,1997-01-30,True,2,2020-11-24,9999-12-31,True,55
32,CUST-100032,Gabrielle Fleming,Female,1992-01-04,384.520.8726x880,kim52@example.net,4221 Padilla Land Suite 830,Lake Christopher,Delaware,Zimbabwe,Retail,False,2019-05-19,False,1,2020-01-01,2020-10-18,False,33
32,CUST-100032,Gabrielle Fleming,Female,1992-01-04,384.520.8726x880,kim52@example.net,4221 Padilla Land Suite 830,Lake Christopher,Delaware,Zimbabwe,Retail,False,2016-04-03,False,2,2020-10-19,2021-09-20,False,33
32,CUST-100032,Gabrielle Fleming,Female,1992-01-04,384.520.8726x880,kim52@example.net,4221 Padilla Land Suite 830,Lake Christopher,Delaware,Zimbabwe,Retail,False,2019-06-28,True,3,2021-09-21,9999-12-31,True,33
33,CUST-100033,Eric Lester,Female,1993-04-09,(441)729-3340x24191,danielsamber@example.com,35676 Garrett Corners,Lake Susan,Florida,Seychelles,Online,False,2018-01-07,False,1,2020-01-01,2021-02-03,False,32
33,CUST-100033,Eric Lester,Female,1993-04-09,(441)729-3340x24191,danielsamber@example.com,35676 Garrett Corners,Lake Susan,Florida,Seychelles,Online,False,2016-04-28,True,2,2021-02-04,2021-08-29,False,32
33,CUST-100033,Eric Lester,Female,1993-04-09,(441)729-3340x24191,danielsamber@example.com,35676 Garrett Corners,Lake Susan,Florida,Seychelles,Online,True,2017-04-21,False,3,2021-08-30,9999-12-31,True,32
34,CUST-100034,Sarah Sanchez,Female,1999-03-22,205.895.4868x233,hroy@example.org,2945 Benjamin Spring,Michaelton,Maryland,Palau,Retail,True,2017-07-28,False,1,2020-01-01,2021-04-10,False,26
34,CUST-100034,Sarah Sanchez,Female,1999-03-22,205.895.4868x233,hroy@example.org,2945 Benjamin Spring,Michaelton,Maryland,Palau,Retail,True,2019-12-03,True,2,2021-04-11,9999-12-31,True,26
35,CUST-100035,Julie Myers,Male,1967-09-07,(565)973-8504x2477,harry40@example.com,29496 Justin Ville Suite 995,Royton,Missouri,Thailand,Online,True,2001-03-29,False,1,2020-01-01,2020-08-03,False,57
35,CUST-100035,Julie Myers,Male,1967-09-07,(565)973-8504x2477,harry40@example.com,29496 Justin Ville Suite 995,Royton,Missouri,Thailand,Online,False,2002-07-28,False,2,2020-08-04,9999-12-31,True,57
36,CUST-100036,Cheryl Brown,Male,1967-03-08,464.889.4244x85781,christophertaylor@example.net,044 Jeffrey Mill,New Jessica,Montana,Turks and Caicos Islands,Wholesale,True,2016-11-23,False,1,2020-01-01,2020-07-25,False,58
36,CUST-100036,Cheryl Brown,Male,1967-03-08,464.889.4244x85781,christophertaylor@example.net,044 Jeffrey Mill,New Jessica,Montana,Turks and Caicos Islands,Wholesale,False,1993-01-05,True,2,2020-07-26,9999-12-31,True,58
37,CUST-100037,James Roberts,Male,1968-01-24,430-766-4758x0005,richard48@example.com,16897 Mason Bridge Suite 009,West Taylor,Virginia,Bulgaria,Online,True,1989-01-22,False,1,2020-01-01,2020-10-14,False,57
37,CUST-100037,James Roberts,Male,1968-01-24,430-766-4758x0005,richard48@example.com,16897 Mason Bridge Suite 009,West Taylor,Virginia,Bulgaria,Online,True,2004-02-07,True,2,2020-10-15,2021-07-09,False,57
37,CUST-100037,James Roberts,Male,1968-01-24,430-766-4758x0005,richard48@example.com,16897 Mason Bridge Suite 009,West Taylor,Virginia,Bulgaria,Online,False,2017-07-23,True,3,2021-07-10,9999-12-31,True,57
38,CUST-100038,Courtney Nguyen,Female,2006-04-02,551-604-3730x007,paulmorales@example.com,43422 Reyes Path Apt. 788,Davilaview,Connecticut,Somalia,Wholesale,False,2020-01-01,True,1,2020-01-01,2020-09-06,False,19
38,CUST-100038,Courtney Nguyen,Female,2006-04-02,551-604-3730x007,paulmorales@example.com,43422 Reyes Path Apt. 788,Davilaview,Connecticut,Somalia,Wholesale,True,2020-09-07,False,2,2020-09-07,9999-12-31,True,19
39,CUST-100039,Andrew Terry,Female,1987-01-13,(909)237-2198x0598,zjones@example.com,73408 Christopher Branch Apt. 040,Jenniferhaven,South Dakota,Lithuania,Online,False,2011-02-15,True,1,2020-01-01,9999-12-31,True,38
40,CUST-100040,Robert Mayer,Male,2002-02-05,(530)658-5734,davislindsay@example.net,45763 Damon Burg Suite 507,Pattonville,Oregon,Greece,Wholesale,True,2020-01-01,True,1,2020-01-01,2020-12-07,False,23
40,CUST-100040,Robert Mayer,Male,2002-02-05,(530)658-5734,davislindsay@example.net,45763 Damon Burg Suite 507,Pattonville,Oregon,Greece,Wholesale,False,2020-07-05,True,2,2020-12-08,9999-12-31,True,23
41,CUST-100041,Nicole Goodwin,Female,1990-11-01,451-914-5018x3740,paul40@example.net,96134 Laura Point Suite 788,New Wendychester,Hawaii,Nepal,Retail,True,2016-03-05,False,1,2020-01-01,9999-12-31,True,34
42,CUST-100042,Jennifer Chang,Female,1970-12-30,805.578.5753x084,melissalewis@example.org,92393 Martin Turnpike,North Neil,Wyoming,French Guiana,Retail,False,1989-01-21,True,1,2020-01-01,9999-12-31,True,54
43,CUST-100043,Sarah Bentley,Female,2007-06-02,810.887.6696,twoodard@example.com,216 Palmer Glen,North Daniel,Georgia,Brunei Darussalam,Retail,False,2020-01-01,True,1,2020-01-01,2021-03-07,False,18
43,CUST-100043,Sarah Bentley,Female,2007-06-02,810.887.6696,twoodard@example.com,216 Palmer Glen,North Daniel,Georgia,Brunei Darussalam,Retail,True,2021-03-08,False,2,2021-03-08,9999-12-31,True,18
44,CUST-100044,Barry Lewis,Female,1963-07-07,001-670-207-9269x4361,rodriguezbrittany@example.com,21944 White Courts Apt. 766,Harrisshire,Illinois,Papua New Guinea,Wholesale,True,1994-03-06,False,1,2020-01-01,2020-07-23,False,62
44,CUST-100044,Barry Lewis,Female,1963-07-07,001-670-207-9269x4361,rodriguezbrittany@example.com,21944 White Courts Apt. 766,Harrisshire,Illinois,Papua New Guinea,Wholesale,False,2008-02-15,True,2,2020-07-24,2021-10-01,False,62
44,CUST-100044,Barry Lewis,Female,1963-07-07,001-670-207-9269x4361,rodriguezbrittany@example.com,21944 White Courts Apt. 766,Harrisshire,Illinois,Papua New Guinea,Wholesale,True,2020-08-28,True,3,2021-10-02,9999-12-31,True,62
45,CUST-100045,Mr. Bryan Miller,Female,1986-07-19,558-637-0449x5290,tinalong@example.org,18092 Turner Forks Apt. 641,West Wesleyfurt,Michigan,Chad,Retail,False,2013-12-28,False,1,2020-01-01,9999-12-31,True,39
46,CUST-100046,Brittany Davis,Male,1992-10-08,(610)626-1184x1595,woodstyler@example.net,1832 Aguirre Valleys Suite 467,Anthonyview,Iowa,Chile,Wholesale,True,2018-06-28,False,1,2020-01-01,9999-12-31,True,32
47,CUST-100047,Brandy Andersen,Male,1983-02-24,(993)595-2150x8542,michaelherring@example.com,02053 Lindsay Ways,East Megan,Indiana,Sao Tome and Principe,Online,False,2016-05-17,True,1,2020-01-01,9999-12-31,True,42
48,CUST-100048,Sabrina Castillo,Male,1959-03-09,409-545-2807x144,joshuasummers@example.org,636 Harris Crescent,Michelleberg,North Dakota,French Guiana,Wholesale,True,1983-04-18,True,1,2020-01-01,2021-02-06,False,66
48,CUST-100048,Sabrina Castillo,Male,1959-03-09,409-545-2807x144,joshuasummers@example.org,636 Harris Crescent,Michelleberg,North Dakota,French Guiana,Wholesale,True,1986-03-13,True,2,2021-02-07,2022-05-05,False,66
48,CUST-100048,Sabrina Castillo,Male,1959-03-09,409-545-2807x144,joshuasummers@example.org,636 Harris Crescent,Michelleberg,North Dakota,French Guiana,Wholesale,False,1982-08-17,False,3,2022-05-06,9999-12-31,True,66
49,CUST-100049,Julie Martinez,Female,1965-06-11,951.714.1810x999,wjefferson@example.net,0630 Cruz Well,Deleonton,Wyoming,Bhutan,Online,True,2019-01-31,True,1,2020-01-01,2020-09-02,False,60
49,CUST-100049,Julie Martinez,Female,1965-06-11,951.714.1810x999,wjefferson@example.net,0630 Cruz Well,Deleonton,Wyoming,Bhutan,Online,False,1996-01-07,False,2,2020-09-03,9999-12-31,True,60
50,CUST-100050,Jody Crawford,Female,1992-05-31,+1-959-700-6696x5487,howardraymond@example.com,27251 Kenneth Ville,New Desireebury,Utah,Philippines,Retail,True,2017-03-15,True,1,2020-01-01,2021-01-27,False,33
50,CUST-100050,Jody Crawford,Female,1992-05-31,+1-959-700-6696x5487,howardraymond@example.com,27251 Kenneth Ville,New Desireebury,Utah,Philippines,Retail,True,2020-05-24,True,2,2021-01-28,2021-11-03,False,33
50,CUST-100050,Jody Crawford,Female,1992-05-31,+1-959-700-6696x5487,howardraymond@example.com,27251 Kenneth Ville,New Desireebury,Utah,Philippines,Retail,True,2012-03-17,False,3,2021-11-04,9999-12-31,True,33
51,CUST-100051,Ronald Arellano,Male,1988-04-12,701.568.0262,michaelroberts@example.com,422 Williams Avenue,North Nancy,Pennsylvania,Haiti,Retail,False,2014-10-06,False,1,2020-01-01,2020-11-24,False,37
51,CUST-100051,Ronald Arellano,Male,1988-04-12,701.568.0262,michaelroberts@example.com,422 Williams Avenue,North Nancy,Pennsylvania,Haiti,Retail,False,2009-07-27,False,2,2020-11-25,9999-12-31,True,37
52,CUST-100052,Cynthia Mcdonald,Male,2007-02-10,4057696260,mark74@example.org,4187 James Islands Apt. 709,South Robertshire,Maine,Tokelau,Wholesale,True,2020-01-01,True,1,2020-01-01,9999-12-31,True,18
53,CUST-100053,John Benjamin,Female,2002-05-06,+1-638-400-4301,bcox@example.net,5798 Megan Fork Suite 690,Austintown,Oregon,Rwanda,Online,False,2020-01-01,True,1,2020-01-01,2021-01-06,False,23
53,CUST-100053,John Benjamin,Female,2002-05-06,+1-638-400-4301,bcox@example.net,5798 Megan Fork Suite 690,Austintown,Oregon,Rwanda,Online,True,2020-06-23,True,2,2021-01-07,9999-12-31,True,23
54,CUST-100054,Henry Buchanan,Female,1959-08-14,510-915-6592x802,eadams@example.com,90962 Underwood Shore Apt. 205,Annachester,Maryland,Tajikistan,Retail,True,1995-08-02,True,1,2020-01-01,2020-12-24,False,65
54,CUST-100054,Henry Buchanan,Female,1959-08-14,510-915-6592x802,eadams@example.com,90962 Underwood Shore Apt. 205,Annachester,Maryland,Tajikistan,Retail,False,1999-12-11,False,2,2020-12-25,9999-12-31,True,65
55,CUST-100055,Kenneth Jackson,Female,1984-11-12,923.423.3191x154,lori76@example.org,7614 Hardy Wells,Cynthiahaven,Montana,Yemen,Online,False,2010-01-03,True,1,2020-01-01,2021-03-30,False,40
55,CUST-100055,Kenneth Jackson,Female,1984-11-12,923.423.3191x154,lori76@example.org,7614 Hardy Wells,Cynthiahaven,Montana,Yemen,Online,False,2020-02-19,True,2,2021-03-31,2021-11-09,False,40
55,CUST-100055,Kenneth Jackson,Female,1984-11-12,923.423.3191x154,lori76@example.org,7614 Hardy Wells,Cynthiahaven,Montana,Yemen,Online,False,2018-07-04,False,3,2021-11-10,9999-12-31,True,40
56,CUST-100056,Andrew Richards,Male,1958-01-21,(607)735-7315,maria40@example.com,4448 David Path,New Joseph,Oklahoma,Sri Lanka,Online,True,2001-03-09,True,1,2020-01-01,2021-04-15,False,67
56,CUST-100056,Andrew Richards,Male,1958-01-21,(607)735-7315,maria40@example.com,4448 David Path,New Joseph,Oklahoma,Sri Lanka,Online,True,2006-06-06,True,2,2021-04-16,9999-12-31,True,67
57,CUST-100057,Meredith Raymond,Female,1987-12-15,+1-715-688-7677x7350,amypeterson@example.org,09820 David Meadow,Livingstontown,Tennessee,China,Retail,False,2006-06-01,True,1,2020-01-01,2020-07-26,False,37
57,CUST-100057,Meredith Raymond,Female,1987-12-15,+1-715-688-7677x7350,amypeterson@example.org,09820 David Meadow,Livingstontown,Tennessee,China,Retail,True,2018-11-06,True,2,2020-07-27,2021-09-26,False,37
57,CUST-100057,Meredith Raymond,Female,1987-12-15,+1-715-688-7677x7350,amypeterson@example.org,09820 David Meadow,Livingstontown,Tennessee,China,Retail,False,2008-02-24,False,3,2021-09-27,9999-12-31,True,37
58,CUST-100058,Shawn Curry,Male,1955-02-13,727-948-2305,sanchezjonathan@example.net,09936 David Course,Susanberg,Kansas,Guinea-Bissau,Online,True,1986-03-01,True,1,2020-01-01,2020-07-09,False,70
58,CUST-100058,Shawn Curry,Male,1955-02-13,727-948-2305,sanchezjonathan@example.net,09936 David Course,Susanberg,Kansas,Guinea-Bissau,Online,True,2000-11-18,True,2,2020-07-10,9999-12-31,True,70
59,CUST-100059,Justin Davis,Female,1971-11-26,001-855-529-4324x72731,gutierrezguy@example.org,9713 Ashley Via,West Cathy,Rhode Island,San Marino,Online,False,1996-08-17,True,1,2020-01-01,2020-12-28,False,53
59,CUST-100059,Justin Davis,Female,1971-11-26,001-855-529-4324x72731,gutierrezguy@example.org,9713 Ashley Via,West Cathy,Rhode Island,San Marino,Online,True,2001-06-10,False,2,2020-12-29,2022-01-01,False,53
59,CUST-100059,Justin Davis,Female,1971-11-26,001-855-529-4324x72731,gutierrezguy@example.org,9713 Ashley Via,West Cathy,Rhode Island,San Marino,Online,False,1997-05-23,True,3,2022-01-02,9999-12-31,True,53
