CustomerKey,CustomerID,FullName,Gender,DateOfBirth,Age,PhoneNumber,Email,Address,City,Province,Country,CustomerType,IsLoyalCustomer,JoinDate,IsActive,CreateDate
54,CUST-100054,Sara Rodriguez,Female,1988-12-10,37,367.619.5921x957,longamy@example.net,6465 Michelle Landing,Jacobview,New York,Iraq,Online,True,2021-02-17,True,2023-06-25
55,CUST-100055,Michael Cantu,Male,1961-05-10,64,001-225-523-4552x54012,lpatton@example.net,024 Daniel Rue,East Holly,Georgia,Honduras,Retail,False,2003-01-24,False,2023-08-28
56,CUST-100056,Mike Bailey,Male,1995-11-08,30,+1-694-419-2894x708,williamssydney@example.com,2746 Stewart Shoal Apt. 208,Tamiton,North Dakota,El Salvador,Online,False,2018-05-08,True,2020-06-07
57,CUST-100057,Paul Henderson,Male,1973-01-10,52,(517)786-3010x47653,xwilliams@example.net,39763 Smith Drive,Christinatown,California,Montenegro,Wholesale,False,2022-01-11,False,2023-08-26
58,CUST-100058,Maria Rodriguez,Female,2002-05-03,23,6864236571,egarrett@example.net,481 Benson Ranch,South Amberland,Hawaii,Swaziland,Online,True,2021-12-27,True,2024-09-25
59,CUST-100059,Michael Moore,Male,2001-05-12,24,675.772.1546x0961,wallercynthia@example.com,343 Rebecca Squares Suite 322,Staceyhaven,South Dakota,Cocos (Keeling) Islands,Retail,True,2021-05-18,True,2022-09-27
60,CUST-100060,Linda Marquez,Female,1963-02-27,62,(352)586-5854,whernandez@example.net,8082 Evans Spring,Karamouth,Iowa,Cyprus,Online,False,2000-09-13,False,2010-06-26
61,CUST-100061,Robert Thomas,Male,1981-02-21,44,+1-505-223-0519x4027,gamblebrian@example.org,5342 Martin Manor,South David,Iowa,Belarus,Retail,True,1999-12-29,True,2000-01-02
62,CUST-100062,Keith Mccoy,Male,2003-04-25,22,001-358-752-2470x2274,sroach@example.net,5986 William Trace,Galvanville,Connecticut,Oman,Wholesale,False,2022-06-25,False,2022-12-23
63,CUST-100063,Cynthia Ward,Female,2000-06-15,25,001-417-601-7488x7308,stephaniebender@example.com,8833 Robinson Stravenue,Geraldfurt,North Dakota,Philippines,Online,True,2022-10-17,False,2023-11-04
64,CUST-100064,Joseph Davis,Male,1977-10-07,48,515.622.6079,sandrarose@example.com,455 Dawn Tunnel Suite 428,Nealland,Montana,Indonesia,Wholesale,False,1998-01-27,False,2015-02-03
65,CUST-100065,Douglas Palmer,Male,1984-01-07,41,679-542-3198x718,myersmatthew@example.com,8087 Scott Estates,Greenechester,North Dakota,Qatar,Wholesale,True,2008-12-09,False,2013-06-01
66,CUST-100066,Samuel Simpson,Male,2004-06-06,21,880-843-8960x0400,cody78@example.net,048 Derek Junction,Charlesfurt,South Carolina,Panama,Online,True,2024-06-26,False,2025-07-16
67,CUST-100067,Allison Diaz,Female,1991-05-16,34,2426933391,yfischer@example.org,4991 Jamie Shoals Apt. 754,Port Christopherberg,Oklahoma,Venezuela,Online,True,2013-03-31,True,2024-11-09
68,CUST-100068,Tonya Clark,Female,1974-01-19,51,3814381184,glennvelez@example.org,9212 Brian Fall Suite 153,Richardview,Florida,Italy,Retail,False,2011-04-03,True,2011-11-11
69,CUST-100069,Katherine Deleon,Female,1975-10-08,50,+1-495-463-0248x30302,lgentry@example.org,952 Alicia Villages,Michaelbury,Texas,Antigua and Barbuda,Retail,False,2012-02-06,False,2020-12-21
70,CUST-100070,Dean West,Male,2001-07-22,24,345-674-5990x8440,grimesmark@example.com,908 Holt Station Suite 102,Mccoymouth,Indiana,Barbados,Online,False,2024-05-06,False,2024-08-15
71,CUST-100071,Sabrina Murphy,Female,1989-09-05,36,(637)839-5014x2608,lbrady@example.org,62526 Danny Alley Suite 774,Jessefort,Utah,Australia,Retail,True,2010-09-12,True,2011-06-29
72,CUST-100072,Ronald Leblanc,Male,1990-12-20,35,+1-944-862-9707,adamsdaniel@example.net,97791 Nicholas Circles,New Jared,Georgia,Korea,Wholesale,False,2011-05-13,True,2024-05-31
73,CUST-100073,Corey Robertson,Male,1973-02-04,52,607-618-2366,gonzaleszachary@example.org,91760 Moore Street Apt. 964,West Stephanieton,Texas,New Zealand,Retail,False,2022-06-24,False,2025-04-15
74,CUST-100074,Antonio Martin,Male,1976-10-20,49,5459681033,chelseaanderson@example.org,617 Katie Skyway Apt. 321,Port Joshua,Iowa,Netherlands Antilles,Online,False,2003-04-01,False,2006-04-25
75,CUST-100075,John Foster,Male,1970-11-17,55,(407)965-0742x71223,stewartbrian@example.net,826 William Isle Suite 265,Lake Joshua,Virginia,Kenya,Online,True,1988-11-23,True,2019-05-09
76,CUST-100076,Jennifer Greene,Female,1995-02-11,30,745-858-6068,robert07@example.org,65005 Stephen Courts Apt. 115,Lopezberg,North Carolina,Montserrat,Online,True,2021-03-07,False,2021-12-26
77,CUST-100077,Katelyn Jenkins,Female,2000-06-23,25,9266414798,pamela71@example.net,3576 Freeman Cliff Apt. 149,West Karenmouth,Delaware,Cape Verde,Online,False,2024-12-19,True,2025-03-17
78,CUST-100078,Eric Roman,Male,1977-04-28,48,001-505-538-6320x651,lesliecarrillo@example.com,4532 Smith Views,Lake Michellechester,Kentucky,Algeria,Online,False,2007-07-30,True,2024-08-10
79,CUST-100079,Sharon Gilmore,Female,2006-01-11,19,989-353-8032,josephwheeler@example.org,3777 Reed Run,East Jose,Washington,Saint Barthelemy,Retail,False,2025-06-08,False,2025-06-10
80,CUST-100080,Edwin Richardson,Male,1974-12-06,51,001-480-645-1271,samuelchang@example.com,89268 Rhodes Prairie Apt. 725,Donnaborough,Idaho,United States Minor Outlying Islands,Online,False,1992-12-14,False,2010-11-25
81,CUST-100081,Jodi Jennings,Female,1971-03-25,54,(904)935-5339x1943,monicaellis@example.com,72787 Katherine Dale,Lake Johnhaven,Iowa,Oman,Online,True,2000-03-07,False,2008-09-21
82,CUST-100082,Jennifer Wilkins,Female,1967-02-26,58,650-937-6421x4163,mariaguzman@example.org,305 Adam Overpass,Andrewfurt,Virginia,Belgium,Retail,False,2018-06-29,True,2023-06-26
83,CUST-100083,Marie Newman,Female,1969-07-15,56,001-594-339-8848x97230,andrewperry@example.net,61124 Fisher Alley Apt. 154,Port Chadport,Vermont,Costa Rica,Retail,False,2009-11-06,True,2014-12-14
84,CUST-100084,Jennifer Underwood,Female,1990-10-23,35,(455)974-3338,kathleenwalls@example.org,764 Smith Fork Apt. 784,South Hannahside,Indiana,Equatorial Guinea,Wholesale,False,2011-04-10,False,2024-03-13
85,CUST-100085,Molly Ruiz,Female,1969-10-01,56,+1-750-926-0366,joneschristopher@example.org,3886 Shaw Mountains Apt. 210,Morenohaven,Georgia,Tajikistan,Retail,True,2012-06-06,True,2018-08-07
86,CUST-100086,Brian Mejia,Male,1964-03-04,61,422.668.4561x880,frederick10@example.com,007 Francis Crest Suite 385,North Brettshire,Wyoming,Burundi,Wholesale,True,2008-04-13,True,2022-03-29
87,CUST-100087,Matthew Mendoza,Male,2004-03-20,21,233.263.2511,kmiranda@example.org,48863 Patricia Forks,South Dawn,Arkansas,Lebanon,Online,False,2024-04-13,False,2025-01-17
88,CUST-100088,John Becker,Male,1993-03-04,32,001-866-477-4563,evansdavid@example.org,2292 Griffin Squares Suite 062,Garciamouth,Arizona,Niue,Wholesale,True,2017-07-01,False,2020-02-14
89,CUST-100089,Christina Jones,Female,1985-01-14,40,001-570-418-5115x92761,xavier51@example.com,06083 Haynes Locks Apt. 644,East Charlotteport,Wyoming,Zambia,Wholesale,True,2017-06-17,False,2019-10-05
90,CUST-100090,Morgan Dawson,Female,1983-04-30,42,279.800.1288x978,tammy54@example.com,36988 Richard Fields,North Crystalbury,Connecticut,Botswana,Online,False,2003-05-02,False,2006-01-12
91,CUST-100091,Keith Barker,Male,1998-01-07,27,495-330-8475x17338,joshuahammond@example.net,868 Katherine Underpass Apt. 760,West Mackenzieview,Delaware,Qatar,Wholesale,False,2019-07-17,True,2019-12-23
92,CUST-100092,Julie Reed,Female,2000-07-18,25,995.344.4960,jenkinsglenda@example.org,7999 Brian Crossroad Apt. 060,New Annaside,Delaware,Guadeloupe,Retail,True,2019-01-09,False,2022-05-10
93,CUST-100093,Bobby Stark,Male,1985-03-31,40,612-242-0497x6943,wjoseph@example.com,0918 Valerie Loaf,Alexanderland,Louisiana,Pitcairn Islands,Online,False,2005-09-08,True,2011-01-01
94,CUST-100094,Jennifer Meyers,Female,2001-01-31,24,603-488-8150,ymartinez@example.com,58408 Sara Coves Apt. 310,Brownmouth,North Dakota,Hungary,Retail,False,2024-05-31,True,2025-07-21
95,CUST-100095,Daniel Clark,Male,1992-06-19,33,(257)257-0746,gilberthoward@example.net,711 Cox Radial,Lopezside,Nevada,Gambia,Wholesale,False,2025-01-12,False,2025-07-19
96,CUST-100096,Timothy Khan,Male,2002-04-18,23,733.394.6748x679,ztaylor@example.org,864 Jose Turnpike,Lake Suzanne,North Dakota,Faroe Islands,Retail,True,2024-12-07,False,2025-06-26
97,CUST-100097,Kyle Harris,Male,1958-07-09,67,+1-969-856-1361x611,andrewwelch@example.com,644 Alvarado Circle Suite 817,Stevenborough,Maine,Zimbabwe,Wholesale,True,2002-06-24,False,2016-05-19
98,CUST-100098,James Arias MD,Male,1993-06-29,32,507.322.0466x4202,urobinson@example.com,82914 Lopez Dale,Williamschester,Connecticut,Sudan,Online,False,2013-01-30,True,2021-06-18
99,CUST-100099,Thomas Anderson,Male,1988-01-18,37,786.300.0551,crodriguez@example.com,9947 Williams Parks Apt. 036,Lake Jameshaven,New Mexico,Liechtenstein,Online,False,2007-08-07,False,2016-01-07
100,CUST-100100,Megan Thomas,Female,1963-01-05,62,838-486-0832x980,erica14@example.org,4805 Sabrina Drives Suite 456,Ortizland,Texas,San Marino,Retail,False,1981-05-18,False,2024-08-04
101,CUST-100101,Kimberly Mcgrath,Female,1967-02-14,58,001-474-784-4979x5267,tina66@example.org,2295 Gilbert Course Suite 100,West Ryan,Maine,Libyan Arab Jamahiriya,Wholesale,True,2003-08-04,False,2023-08-02
102,CUST-100102,Morgan Collins,Female,2003-09-12,22,+1-980-201-4439x50283,qthomas@example.org,044 Anthony Drives,New Joel,Virginia,Netherlands Antilles,Retail,True,2022-09-13,False,2024-12-08
103,CUST-100103,Michael Brown,Male,1970-09-25,55,(904)683-2680x49146,kendra80@example.net,02725 Farmer Ramp Suite 071,North Teresa,Virginia,Burkina Faso,Retail,False,1998-02-11,True,2015-03-15
104,CUST-100104,Erin Thompson,Female,1990-01-25,35,976-718-7820x89842,blackashley@example.com,535 Clark Trafficway Suite 681,Woodwardburgh,Vermont,Anguilla,Wholesale,False,2015-12-30,False,2021-02-09
105,CUST-100105,Dennis Jones,Male,1978-02-14,47,654.425.6568x61772,umoore@example.com,512 Schmitt Ferry,South Cindyport,Georgia,Hungary,Online,False,2011-04-03,True,2011-06-27
106,CUST-100106,Deborah Adams,Female,1971-05-07,54,753.354.3501,christina40@example.com,2909 Robinson Forks Apt. 868,East Kevin,Delaware,Singapore,Online,False,1996-12-01,False,2014-12-05
107,CUST-100107,Donald Kelly,Male,1963-10-04,62,+1-700-278-7254x060,dennisford@example.com,735 Katherine Place,South Madelinebury,New Mexico,Philippines,Online,False,1999-02-22,True,2008-04-12
108,CUST-100108,Sarah Bowman,Female,1967-09-03,58,+1-777-208-3482x19939,edgartran@example.org,875 Simmons Inlet Suite 973,Port Candiceland,Arkansas,Sudan,Online,False,1992-04-20,True,2023-11-06
109,CUST-100109,Darryl Lee,Male,1964-10-19,61,+1-939-246-5373x960,williamfrancis@example.org,101 Joyce Tunnel,Christopherville,Utah,Costa Rica,Online,True,2018-11-27,False,2019-11-14
110,CUST-100110,Christopher Lin,Male,1976-07-05,49,411.305.7272,dsilva@example.org,8266 Gonzalez Gateway Apt. 618,Lake Davidton,West Virginia,Western Sahara,Online,True,2017-04-24,True,2018-06-29
111,CUST-100111,George Mckee,Male,1973-02-16,52,001-446-770-2011,mariajones@example.com,4723 Joshua Radial Suite 019,North Brandonberg,Wyoming,Holy See (Vatican City State),Online,False,2000-10-01,False,2006-01-06
112,CUST-100112,Cheryl Riley,Female,1992-01-18,33,380.859.4435,warddrew@example.net,441 Day Locks Suite 232,Port Debraberg,Minnesota,Azerbaijan,Online,False,2019-01-12,False,2019-02-17
113,CUST-100113,Chad Wallace,Male,1959-05-20,66,001-504-434-6781x8520,nicholas44@example.net,53068 Burke Loaf Apt. 790,Christopherberg,Indiana,Bolivia,Retail,True,2001-10-04,True,2008-04-08
114,CUST-100114,Laura Jones,Female,1970-05-12,55,001-572-446-1283,ibrown@example.org,39052 Rachel River,East Nicole,Arkansas,Azerbaijan,Retail,False,2001-11-28,True,2017-06-28
115,CUST-100115,Anthony Russell,Male,1982-05-27,43,001-619-762-1104,zcoleman@example.org,378 Dennis Knoll,Lake Troytown,South Carolina,Malawi,Wholesale,True,2011-02-07,False,2011-07-09
116,CUST-100116,Erik Moyer,Male,1972-07-02,53,213.939.6255,vhudson@example.org,84958 Jason Roads,Mcdonaldview,New Jersey,Ecuador,Online,False,1991-11-07,True,2016-04-20
117,CUST-100117,Donald Gould,Male,2002-04-25,23,421-294-1885x4748,riveraian@example.com,359 Harris Oval,Jesseside,Arkansas,Congo,Wholesale,False,2021-08-30,True,2023-10-22
118,CUST-100118,Nathan Nunez,Male,1997-03-02,28,590.765.9729x742,icarter@example.org,23048 Petersen Ramp Apt. 069,Lake Timothystad,Idaho,Tunisia,Retail,True,2020-01-10,False,2024-12-05
119,CUST-100119,Mrs. Cynthia White,Female,1982-07-18,43,(487)349-0375x516,bryancarter@example.org,369 Curtis Court Apt. 530,Michelleport,New Jersey,Luxembourg,Retail,True,2023-01-12,True,2025-01-31
120,CUST-100120,Adam Campos,Male,1998-08-22,27,848.479.5416x9491,nboyd@example.org,10338 Rodgers Falls Apt. 757,Crawfordstad,Florida,Dominican Republic,Online,True,2017-04-01,False,2018-03-05
121,CUST-100121,Jamie Hicks,Female,1963-09-20,62,+1-962-817-4666x283,davidboyer@example.com,5902 King Motorway,Port Meghan,Ohio,Hungary,Wholesale,False,1998-11-29,True,2024-07-09
122,CUST-100122,Katrina Preston,Female,1990-03-02,35,001-339-241-2003,holtmelissa@example.net,87600 Linda Fork,Keithtown,Wyoming,Uruguay,Wholesale,False,2021-04-29,True,2024-03-19
123,CUST-100123,Allison Anderson,Female,1967-11-04,58,846-992-1416x341,bettyhenderson@example.net,198 Pitts Common,Goodtown,Ohio,North Macedonia,Retail,False,1993-04-04,True,1999-04-17
124,CUST-100124,Tanya Larson,Female,1965-04-22,60,804-245-9190x59863,drakenicole@example.com,0622 Jacqueline Corners Apt. 036,New Davidburgh,Kansas,Timor-Leste,Retail,False,1998-06-14,False,1999-03-26
125,CUST-100125,Daniel Everett,Male,1994-09-13,31,318.215.1031x729,dobrien@example.com,35544 Ward Glen,Mcdowellchester,Mississippi,Azerbaijan,Online,False,2020-01-18,False,2020-06-15
126,CUST-100126,Allison Rogers,Female,1959-09-28,66,945.664.3786,maytommy@example.net,5398 Brian Parks,Walkerton,South Carolina,Niger,Online,False,2015-05-09,False,2024-11-21
127,CUST-100127,Alyssa Rubio,Female,1986-05-10,39,4119042545,calexander@example.com,175 Carol Estate,West Austinport,Colorado,Reunion,Wholesale,True,2017-11-04,False,2023-01-25
128,CUST-100128,Jennifer Schultz,Female,2001-03-29,24,308-350-0189x8942,carpenterdan@example.com,43412 Debbie Light Apt. 978,Williamview,Michigan,Senegal,Retail,True,2022-10-16,True,2025-07-03
129,CUST-100129,Steven Watson,Male,1959-12-07,66,001-712-413-2990x818,thomascabrera@example.com,15607 Hannah Fork Apt. 547,Steelechester,Missouri,Australia,Online,True,2008-09-18,True,2011-04-17
130,CUST-100130,Angela Hawkins MD,Female,1970-04-22,55,344-525-6392x785,larachristine@example.org,026 Dean Rue Suite 212,Lake Christopher,Nebraska,Andorra,Retail,False,2016-05-19,False,2024-01-17
131,CUST-100131,Jacqueline Gray,Female,1970-01-11,55,468-529-5208x1824,mariahcastillo@example.org,2427 Robbins Rapids Apt. 017,Michaelport,Florida,Greece,Retail,False,2008-07-02,False,2015-02-18
132,CUST-100132,Tina Good,Female,1999-11-11,26,(638)841-8887,hgolden@example.com,129 Christopher Loaf,Julieburgh,New Jersey,Kazakhstan,Wholesale,True,2024-05-16,False,2024-05-19
133,CUST-100133,Sarah Barry,Female,1960-03-12,65,(627)966-8932x41093,icastaneda@example.net,9385 Smith Turnpike,Walkerport,Pennsylvania,Saint Vincent and the Grenadines,Retail,False,1979-02-23,True,2012-09-02
134,CUST-100134,Robin Flores,Female,1979-03-03,46,+1-521-410-6427x38188,vasquezerin@example.com,3793 Harris Centers Suite 517,Fisherville,Texas,Guadeloupe,Online,True,2009-01-28,False,2009-09-18
